NU_ANO_CENSO,SG_UF_IES,NO_MUNICIPIO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,CO_IES,NO_IES,SG_UF,NO_MUNICIPIO,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,NO_CINE_AREA_ESPECIFICA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,QT_VG_TOTAL,QT_INSCRITO_TOTAL,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Código IES,CC,Ano CC,CPC,Ano CPC,ENADE,Ano ENADE,IDD,Ano IDD,Vagas Autorizadas,Situação
2023,SP,Araras,2,2,125,CENTRO UNIVERSITÁRIO DE ARARAS -,SP,Araras,Gestão Hospitalar,1655057,Gestão hospitalar,Negócios e administração,3.0,0,2,0,0,5,2023.0,4,2019.0,3,2022.0,125.0,-,,-,,-,,-,,10000.0,Extinto
2023,SP,Araras,2,2,125,CENTRO UNIVERSITÁRIO DE ARARAS -,SP,São Caetano do Sul,Letras - Português E Espanhol,1143417,Letras português espanhol formação de professor,Educação,2.0,0,2,0,0,5,2023.0,4,2019.0,3,2022.0,125.0,4,2015.0,2,2017.0,2,2017.0,SC,2017.0,500.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,SP,Barretos,Gestão Comercial,1415344,Gestão comercial,Negócios e administração,3.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,5,2019.0,-,,-,,-,,300.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,RJ,Rio de Janeiro,Engenharia Química,1627771,Engenharia química,Engenharia e profissões correlatas,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,500.0,Em Atividade
2023,SP,São Paulo,2,2,161,CENTRO UNIVERSITÁRIO ASSUNÇÃO,SP,São Paulo,Serviço Social,86640,Serviço social,Bem-estar,1.0,0,1,83,243,5,2023.0,4,2020.0,3,2022.0,161.0,3,2014.0,SC,2018.0,SC,2018.0,SC,2018.0,120.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,RJ,Rio de Janeiro,Museologia,1452569,Museologia,Comunicação e informação,1.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,-,,-,,-,,-,,300.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,MG,Belo Horizonte,Artes Visuais,108844,Artes visuais formação de professor,Educação,2.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,-,,3,2017.0,3,2017.0,3,2017.0,657.0,Em Atividade
2023,SP,Araras,2,2,125,CENTRO UNIVERSITÁRIO DE ARARAS -,RS,Vacaria,Teologia,1300220,Teologia,Humanidades (exceto línguas),1.0,0,2,0,0,5,2023.0,4,2019.0,3,2022.0,125.0,4,2017.0,3,2018.0,3,2018.0,SC,2018.0,100.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Uberlândia,Engenharia De Controle E Automação,1627823,Engenharia de controle e automação,Engenharia e profissões correlatas,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,200.0,Em Atividade
2023,RJ,Rio de Janeiro,1,2,163,UNIVERSIDADE ESTÁCIO DE SÁ,GO,Caldas Novas,Sistemas De Informação,1119382,Sistemas de informação,Computação e Tecnologias da Informação e Comunicação (TIC),1.0,0,2,0,0,5,2024.0,5,2019.0,3,2022.0,163.0,4,2013.0,3,2017.0,3,2017.0,3,2017.0,2777.0,Em Atividade
